,t,a,v_pro,v_stop,v_anti,t_anti
CU0009,0.243810192495,0.830434025881,5.51348630453,8.78245031746,13.6335258872,0.158690816303
CU0013,0.202923945235,1.19862742061,8.06315772617,10.4801668852,9.40647593674,0.135844991148
CU0018,0.200258977439,1.06528469884,7.58785225159,11.8396635433,13.8896698243,0.165923714001
CU0019,0.216601513238,1.1592506867,8.02381356994,9.06572473521,12.8755852961,0.156280737576
CU0020,0.248653248393,1.02413053902,6.56892327611,9.10833204231,8.58352474296,0.110398929639
CU0023,0.242648456469,0.982971958938,6.25515195705,10.785450855,8.58223376264,0.133365920613
CU0026,0.169592527135,1.46559303106,5.81828071399,7.89622078886,8.68220192153,0.156132225243
CU0028,0.210924351917,1.02662917978,7.24052778543,10.4409455011,10.9478083801,0.121656103316
CU0031,0.215726715982,1.44403355637,7.57848337474,11.9752345344,12.0664454465,0.124528880379
CU0049,0.162435929622,1.27778738044,8.51525438504,9.8266410633,14.4851770742,0.192036978798
CU0056,0.226789916595,0.648840550527,6.30715192724,7.19936277404,9.55515678059,0.128379493681
CU0057,0.199209423549,0.762946031134,5.24251510873,6.6903445961,10.3726078118,0.144395058673
CU0058,0.21111148705,1.27526540956,7.28499493428,10.8649718323,9.43857383603,0.14284457727
CU0059,0.229696598157,1.00976348633,4.56265311191,8.61840914408,6.16523341856,0.151743316088
CU0061,0.221979874705,1.04947989869,10.0388194641,14.2583437791,16.0073289079,0.113399385427
CU0064,0.197366128439,1.07353787546,6.32452090056,9.59777389276,8.48050436571,0.161001891367
CU0066,0.202951244717,0.94622632172,5.90880492314,8.89527210864,9.26027706405,0.130667038645
CU0067,0.196539421799,0.958617896943,7.55420575171,10.4709840942,12.4628510758,0.0935321801897
CU0068,0.156080399813,1.15272055594,6.03688435908,6.67405243005,12.9471580484,0.177605888497
CU0069,0.173078411766,1.7438354223,7.66653690164,10.1056527772,14.8605791949,0.193402668125
CU0070,0.0001,2.92653917042,7.57422956834,7.98513455557,6.97592351351,0.0707790003896
CU0071,0.119466392215,1.70361287796,8.54391134727,10.4597626956,13.1362751763,0.190417466761
CU0072,0.206444440949,1.05095717777,7.31929364125,7.41311094964,8.21048259941,0.107998095142
CU0073,0.212094512592,1.41308606745,6.22521474497,9.47812864,7.87025205974,0.166902655373
CU0074,0.26299724071,1.08167664979,5.9449994916,11.388711533,8.27953805638,0.116717188372
CU0075,0.22787298238,0.910683898669,6.6356253663,8.5764594955,10.0118473091,0.125302800463
CU0077,0.270173883673,0.941118327817,6.40681505907,9.29400084538,7.89306880853,0.139143975383
CU0078,0.225506098025,0.893537674777,6.77645552038,9.53860236777,11.5936313295,0.138524014995
CU0079,0.138151889481,1.81169945186,9.05274261559,8.96954752451,11.326334862,0.141359643242
CU0080,0.215992807791,1.01470090761,8.08513901973,11.3407698206,15.1245388294,0.142955139387
CU0081,0.165671130365,1.0320216012,4.56111510114,5.26021934024,3.76267171526,0.0806948937682
CU0082,0.210554825391,0.799208273021,6.14281154575,8.91541955232,11.2860760188,0.144420739856
CU0083,0.10124854803,1.96868699144,6.50650595046,8.51643543488,10.8979027827,0.202527823838
CU0084,0.22952201174,0.707183410418,6.4336109173,8.33389186575,11.3556376534,0.145604854012
CU0085,0.123011402964,1.68002644263,6.29283208128,8.35810874356,10.8924668876,0.188762301693
CU0086,0.169607734192,1.5894956538,7.64969829738,9.41227948145,11.1438874587,0.162267804442
CU0087,0.206965847812,1.35904687327,7.66433671911,8.64509639113,11.1916433819,0.172916893505
CU0089,0.24093706096,1.01517146731,8.67149595906,12.1563761879,13.5885154221,0.141436498056
CU0090,0.27375104579,0.538685629628,5.37302040162,9.56483839202,10.8125313009,0.139210011057
CU0092,0.254807157646,0.481329726207,6.06190686471,8.23417268846,9.73009511641,0.129452622213
CU0093,0.22522810075,1.00874908518,7.92650847882,12.6655036635,13.8849589697,0.128220438687
CU0094,0.209873725161,0.99090038614,6.45803525814,7.16698765034,7.80769363243,0.126766531315
CU0095,0.119008938385,1.89931391107,4.31158383782,7.52699492431,4.54913088409,0.0699244854406
CU0097,0.233297737959,0.782218517831,6.93207838996,8.95815060718,13.299532599,0.154682420853
CU0100,0.231620942547,1.00089207896,7.23878246759,13.0562670292,11.2246500796,0.147158592515
CU0102,0.230435860641,1.23031358455,6.42291657155,10.2846400841,9.56679471928,0.157754827034
CU0103,0.253406617699,1.09002523337,5.56383304668,9.38055967585,8.95204722248,0.172320602598
CU0104,0.238632571158,0.907115703462,4.47753721199,7.82376717109,10.0435481891,0.167292485557
CU0105,0.276994996527,0.763531867791,4.16983634113,7.82860339943,6.67815709626,0.140097576963
CU0106,0.23912297156,1.26667342245,6.57275953119,8.74654501831,8.65950024822,0.13311005689
CU0108,0.223960470726,0.732241530354,5.76395257755,10.1579337299,11.970328494,0.149060391235
CU0111,0.24147689017,0.790208812969,4.8268566044,7.68961493058,7.26979392514,0.0910553588368
CU0112,0.238889464998,0.816152143036,5.68157698343,9.13470415873,7.33144583148,0.141280588477
CU0113,0.199400918692,0.918073539963,5.14950334735,8.67970086625,4.76552235709,0.103053502859
CU0115,0.266471531275,0.553317076682,5.84152422031,10.3159572248,11.2944665,0.127857515833
CU0117,0.254634097222,0.794456935384,4.46449970067,9.01754705599,5.93066239785,0.100858032514
CU0119,0.227308825603,0.771634556194,5.09268857494,7.33049814943,6.57512585109,0.144585142945
CU0120,0.201029002452,1.23968693298,6.87157367618,8.4680403525,11.0321607032,0.161588980047
CU0121,0.222313940191,0.895524695219,6.18734425761,10.5663838481,8.70390415114,0.120227829075
CU0125,0.240729103173,0.777821535171,6.98422831603,11.3515883186,10.5717065198,0.15820674858
CU0126,0.262350628335,0.778660182292,6.32196112351,8.37043083715,8.78348761256,0.136306819442
CU0127,0.247038038353,0.926423761573,7.79996374963,11.7680481327,13.0389521813,0.140517339256
CU0128,0.219907565587,1.07387428713,8.1410787865,10.9039030035,8.57100100491,0.119150124744
CU0129,0.202832759748,0.818423062901,6.28147644783,9.45391957999,9.19583646002,0.139197105503
CU0130,0.220458803246,1.07088834783,6.43968428176,9.57578201096,6.76012882482,0.131292284474
CU0131,0.161918290366,1.24660306642,7.81624938378,9.26288824068,11.151181027,0.136736247486
CU0132,0.215332174906,0.837193466924,6.2516725804,10.8047261028,9.90350115426,0.118584419625
CU0133,0.23466407814,0.554461014162,4.76220222713,6.05018797626,10.0102829079,0.140904694958
CU0134,0.294554362234,0.809266028758,2.85603320268,5.24557890384,3.01952578896,0.151208052647
CU0135,0.270778231915,0.669691812118,4.99397561322,8.84533566456,9.71764121375,0.137942465251
MG0006,0.295247935825,0.655634331431,6.77404242802,14.4040124731,10.86043204,0.137864590791
MG0008,0.178064122898,1.39085539987,8.67325636644,9.25088581408,8.95598599919,0.0764756548568
MG0020,0.268495312178,0.790619391791,6.3112917685,11.4245865394,12.2803983782,0.129203582733
MG0025,0.232713471473,0.858615804649,5.46978269367,10.6801032078,9.95642760591,0.136622323961
MG0026,0.194375386257,1.34371257573,6.96010358974,7.1509588005,5.38659642016,0.0001
MG0028,0.22344100984,0.698619552873,5.06225866613,8.80822833612,8.49650974349,0.128844208507
MG0030,0.273343224621,1.04894766808,4.54836049778,10.9203233423,5.12495982345,0.0954130212571
MG0040,0.207773774896,0.584727869344,5.41239774866,6.84795703223,10.5743816773,0.149499693764
MG0081,0.190456986341,1.22302136242,7.12859533425,10.204544248,13.7551190344,0.166408457214
MG0101,0.239257655096,1.51771373987,7.95389207317,10.2925000879,9.09918976057,0.145018107479
